"index","longitude","latitude"
368357,46.868261,42.688635
368360,47.118523,42.169408
368362,47.127219,42.282724
368363,47.160933,42.179445
368364,47.13401,42.114406
368365,47.097664,42.128437
368366,47.082312,42.144263
368367,47.01581,42.2065
368368,47.165191,42.26856
368371,47.151671,42.221037
368380,47.592474,41.781044
368382,48.351137,41.618544
368383,48.351137,41.618544
368384,48.351137,41.618544
368386,48.351137,41.618544
368389,48.351137,41.618544
368390,47.214508,42.072703
368393,47.243712,42.018722
368394,47.273743,41.992652
368395,47.269063,42.059597
368396,47.152219,42.039973
368398,47.219467,42.126926
368410,46.120998,42.134482
368412,45.95843,42.192987
368413,46.868261,42.688635
368414,46.868261,42.688635
368415,46.868261,42.688635
368417,45.905501,42.263536
368418,46.868261,42.688635
368420,46.356446,42.105303
368422,46.368205,42.242788
368423,46.868261,42.688635
368424,46.463921,42.017456
368425,46.868261,42.688635
368427,46.338534,42.190135
368428,47.139912,43.578335
368430,46.551246,42.442865
368432,46.868261,42.688635
368433,46.73461,42.48623
368434,46.734269,42.429397
368435,46.59653,42.429071
368436,46.560058,42.38468
368437,46.868261,42.688635
368438,46.52453,42.315961
368439,46.868261,42.688635
368440,46.497275,42.46948
368441,46.521718,42.488404
368443,46.572374,42.388369
368445,46.673659,42.456716
368450,46.833694,42.235865
368452,46.777127,42.12932
368453,46.868261,42.688635
368454,46.868261,42.688635
368455,46.8431,42.194951
368456,46.878287,42.127648
368457,46.868261,42.688635
368458,46.816806,42.159905
368459,46.776337,42.117035
368461,46.868261,42.688635
368500,47.874312,42.559769
368501,47.861852,42.577671
368502,47.881507,42.550106
368510,47.662723,42.448514
368513,47.689825,42.408337
368514,47.607656,42.403464
368515,47.596319,42.335499
368516,47.669684,42.305033
368517,47.567699,42.328074
368518,47.322962,42.431733
368519,47.573457,42.364451
368520,47.537973,42.414814
368521,47.695807,42.265691
368530,47.560683,42.71262
368533,47.613001,42.708029
368534,47.290263,42.668068
368535,47.353001,42.740331
368536,47.400109,42.72914
368537,47.717663,42.597199
368538,47.680851,42.651008
