"index","longitude","lattitude"
175233,31.018584,57.900102
175234,31.104876,57.847923
175235,31.298068,57.739085
175236,31.079759,57.769094
175237,31.371263,57.855154
175238,31.057472,57.958188
175246,,
175247,,
175248,31.348841,57.993925
175249,,
175251,31.021108,57.671802
175252,30.867281,57.665208
175253,31.151086,57.586957
175254,30.926399,57.570343
175257,30.730746,57.500545
175260,31.111129,57.46949
175263,31.398996,57.396751
175264,30.934008,57.417198
175265,31.388133,57.447712
175270,31.178197,57.148429
175271,31.174011,57.15069
175272,31.17773,57.146017
175273,30.963553,57.104307
175274,30.882813,57.029731
175275,30.808989,56.991052
175276,31.185949,57.114205
175280,31.401797,57.162674
175281,31.189147,56.966335
175282,31.619827,57.178553
175283,31.788647,57.110383
175284,31.711392,57.098406
175285,31.060509,57.311219
175286,31.549318,57.037058
175288,31.367732,56.983823
175289,31.292903,57.003931
175291,31.134844,57.194332
175292,31.046162,57.323618
175300,32.402942,57.918501
175301,32.224698,57.92742
175302,32.543582,57.900437
175303,32.490618,57.840273
175310,32.462087,57.643461
175313,32.674458,57.731864
175314,32.445154,57.536381
175315,32.245916,57.644371
175317,32.123674,57.610898
175319,32.458638,57.630438
175320,32.560489,57.592109
175321,32.652665,57.581332
175323,32.611064,57.646153
175324,32.761819,57.638894
175325,32.852522,57.629383
175326,33.003618,57.594377
175327,33.002271,57.73022
175330,32.715547,57.507808
175331,32.407964,57.662646
175332,32.581494,57.744325
175333,32.948273,57.534352
175336,33.057095,57.510414
175340,32.333089,57.412826
175342,32.186026,57.417596
175343,32.200875,57.332126
175344,32.329523,57.400598
175345,32.563758,57.34918
175347,32.387006,57.374364
175350,32.083681,57.313587
175353,31.900685,57.217913
175355,31.944756,57.40745
175400,33.250062,57.977569
175402,33.247763,57.993062
175403,33.04265,57.961655
175404,33.210195,58.022068
175405,33.271469,57.973202
175411,32.953385,58.036078
175418,33.322763,58.023469
175419,33.271146,57.954755
175420,33.437927,57.939031
175421,33.39055,58.01415
175423,33.245481,57.937927
175425,33.151176,57.787028
175426,32.577395,58.015008
175427,32.788104,58.008848
175429,33.62236,57.912755
175430,33.250062,57.977569
175431,32.992443,57.940345
175434,32.660201,57.845561
175435,32.702391,57.924189
175437,32.811765,57.790473
175438,33.250062,57.977569
175439,33.250062,57.977569
175442,33.331198,57.688385
175443,32.698137,57.970382
175444,33.410358,57.843952
175446,33.250062,57.977569
175447,33.250062,57.977569
175448,33.250062,57.977569
175449,33.250062,57.977569
175450,32.762816,58.143931
175451,32.669023,58.058807
